ID,CompanyID,Code,Name,BhDate,CgDate,InstallDate,KindID,Szwz,AreaID,Remark,HasDishPull,HasSysDefine,HasDefault,HasUse,HasStop,Stoper,StopDate,StopMemo,HasCheck,Checker,CheckTime,Writer,WriteTime,Modifier,ModifyTime,Area,MachineNo,DeptID,WaterLow,WaterHigh,FactorySpeed,dyeMachineKGClass,UrnType
1023740,4,D09,D09漂染机,2017-10-27 00:00:00.000,2017-10-27 00:00:00.000,2017-10-27 00:00:00.000,1005001012,NULL,NULL,NULL,NULL,0,0,0,0,NULL,NULL,NULL,1,277493,2018-06-04 16:59:49.000,277493,2017-10-27 17:44:36.000,277493,2018-06-04 16:59:49.000,NULL,D09,191,6000.00,8000.00,NULL,NULL,1
1023743,4,D10,D10漂染机,2017-10-27 00:00:00.000,2017-10-27 00:00:00.000,2017-10-27 00:00:00.000,1005001012,NULL,NULL,NULL,NULL,0,0,0,0,NULL,NULL,NULL,1,277493,2018-06-04 16:59:57.000,277493,2017-10-27 17:45:45.000,277493,2018-06-04 16:59:57.000,NULL,D10,191,6000.00,8000.00,NULL,NULL,1
1027280,4,J127,LRT71/1/36-28E,2017-11-03 00:00:00.000,2017-11-03 00:00:00.000,2017-11-03 00:00:00.000,1009023,NULL,269384,NULL,NULL,0,0,0,0,NULL,NULL,NULL,1,280238,2017-11-03 11:01:17.000,280238,2017-11-03 10:54:41.000,280238,2017-11-03 11:01:17.000,德国,127,193,NULL,NULL,500.0000,NULL,NULL
1027281,4,J128,LRT71/1/36-28E,2017-11-03 00:00:00.000,2017-11-03 00:00:00.000,2017-11-03 00:00:00.000,1009023,NULL,269384,NULL,NULL,0,0,0,0,NULL,NULL,NULL,1,280238,2017-11-03 11:00:29.000,280238,2017-11-03 10:57:57.000,280238,2017-11-03 11:00:29.000,德国,128,193,NULL,NULL,500.0000,NULL,NULL
1027283,4,J129,JL85/1F,2017-11-03 00:00:00.000,2017-11-03 00:00:00.000,2017-11-03 00:00:00.000,1009028,NULL,269384,NULL,NULL,0,0,0,0,NULL,NULL,NULL,1,280238,2017-11-03 11:03:18.000,280238,2017-11-03 11:01:21.000,280238,2017-11-03 11:03:18.000,德国,129,193,NULL,NULL,700.0000,NULL,NULL
1027284,4,J130,JL85/1F,2017-11-03 00:00:00.000,2017-11-03 00:00:00.000,2017-11-03 00:00:00.000,1009028,NULL,269384,NULL,NULL,0,0,0,0,NULL,NULL,NULL,1,280238,2017-11-03 11:04:58.000,280238,2017-11-03 11:03:20.000,280238,2017-11-03 11:04:58.000,NULL,130,193,NULL,NULL,700.0000,NULL,NULL
1027285,4,J131,JL85/1F,2017-11-03 00:00:00.000,2017-11-03 00:00:00.000,2017-11-03 00:00:00.000,1009028,NULL,269384,NULL,NULL,0,0,0,0,NULL,NULL,NULL,1,280238,2019-03-29 16:25:05.000,280238,2017-11-03 11:05:07.000,280238,2019-03-29 16:25:05.000,德国,131,193,NULL,NULL,700.0000,NULL,NULL
1027345,4,J125,ML41-28E,2017-11-03 00:00:00.000,2017-11-03 00:00:00.000,2017-11-03 00:00:00.000,1009029,NULL,269384,28E-41梳,NULL,0,0,0,0,NULL,NULL,NULL,1,277493,2018-08-17 17:38:29.000,140100,2017-11-03 13:50:33.000,277493,2018-08-17 17:38:29.000,德国,125,193,NULL,NULL,810.0000,NULL,NULL
1027355,4,J126,ML46-28E,2017-11-03 00:00:00.000,2017-11-03 00:00:00.000,2017-11-03 00:00:00.000,1009035,NULL,269384,ML-28E-46梳,NULL,0,0,0,0,NULL,NULL,NULL,1,277493,2017-11-29 11:17:13.000,140100,2017-11-03 14:03:04.000,277493,2017-11-29 11:17:13.000,德国,126,193,NULL,NULL,810.0000,NULL,NULL
1215133,4,8号定型机,8号定型机,2018-11-14 00:00:00.000,2018-11-14 00:00:00.000,2018-11-14 00:00:00.000,1011003,定型车间,NULL,NULL,NULL,0,0,0,0,NULL,NULL,NULL,1,277493,2018-11-14 16:41:49.000,277493,2018-11-14 16:40:46.000,NULL,NULL,,8,191,NULL,NULL,NULL,NULL,NULL
