ID,Levels,ParentID,CompanyID,Code,Name,Remark,IsMachineType,IsSpecs,speed,combCount,MachineWidth,factWidth,ALLPinCount,factPinCount,Power,HasSysDefine,HasDefault,HasUse,HasStop,Stoper,StopDate,StopMemo,HasCheck,Checker,CheckTime,Writer,WriteTime,Modifier,ModifyTime,RuleChildID,MachineKG,DayUrnCount,Coefficient,JBMachineType,ProgramID,DyeRate
1004,23985829,1,3,004,整经机,NULL,1,0,0.0000,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,NULL,NULL,NULL,0,NULL,NULL,101858,2006-11-28 11:43:55.000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1004001,0,1004,3,00401,盘头机,NULL,0,1,1.0000,1,1.0000,1.0000,1,1,1.0000,0,0,0,0,NULL,NULL,NULL,1,11122,2008-01-14 09:50:39.000,12735,2006-12-12 17:42:02.000,11122,2008-01-14 09:50:40.000,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1004002,0,1004,3,00402,花轴机,NULL,0,1,1.0000,1,1.0000,1.0000,1,1,1.0000,0,0,0,0,NULL,NULL,NULL,0,,NULL,12735,2006-12-12 17:49:07.000,201147,2014-12-13 14:09:57.000,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1004003,0,1004,4,00403,加捻机,NULL,0,1,1.0000,1,1.0000,1.0000,1,1,1.0000,0,0,0,0,NULL,NULL,NULL,0,NULL,NULL,202817,2013-12-26 16:29:56.000,202817,2013-12-26 16:30:42.000,NULL,NULL,NULL,1.00,NULL,NULL,NULL
1005,23985829,1,3,005,染色机,NULL,1,0,0.0000,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,NULL,NULL,NULL,0,NULL,NULL,101858,2006-11-28 11:44:23.000,108468,2012-02-27 11:44:57.000,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1005001,0,1005,4,00501,染缸(生产),1,1,0,1.0000,1,1.0000,1.0000,1,1,1.0000,0,0,0,0,NULL,NULL,NULL,0,,NULL,12735,2006-12-12 17:56:03.000,277493,2018-11-15 10:19:22.000,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1005001001,0,1005001,4,dp001,同华染机10K,NULL,0,1,1.0000,1,1.0000,1.0000,1,1,1.0000,0,0,0,0,NULL,NULL,NULL,0,NULL,NULL,administrator,2007-12-14 22:01:30.000,108468,2012-02-27 14:33:13.000,NULL,10.00,4.00,1.00,NULL,NULL,1.00
1005001002,0,1005001,4,DP002,同华染机250K,NULL,0,1,1.0000,1,1.0000,1.0000,1,1,1.0000,0,0,0,0,NULL,NULL,NULL,0,NULL,NULL,administrator,2007-12-14 22:04:46.000,108468,2012-02-27 14:33:27.000,NULL,250.00,3.00,1.29,NULL,NULL,1.30
1005001003,0,1005001,4,DP003,亚机染机500K,NULL,0,1,1.0000,1,1.0000,1.0000,1,1,1.0000,0,0,0,0,NULL,NULL,NULL,0,NULL,NULL,administrator,2007-12-14 22:05:28.000,108468,2012-02-27 14:33:34.000,NULL,500.00,3.00,1.72,NULL,NULL,1.50
1005001004,0,1005001,4,DP004,立信染机250KG,NULL,0,1,1.0000,1,1.0000,1.0000,1,1,1.0000,0,0,0,0,NULL,NULL,NULL,0,NULL,NULL,administrator,2007-12-14 22:06:05.000,108468,2012-02-27 14:33:42.000,NULL,250.00,3.00,1.29,NULL,NULL,1.30
